Url,Domain
https://www.google.com/search?q=conncet+to+github+via+shared+folder&oq=conncet+to+github+via+shared+folder&aqs=chrome..69i57.21308j0j7&sourceid=chrome&ie=UTF-8,www.google.com
chrome://newtab/,newtab
https://itsfoss.com/get-linux-laptops/,itsfoss.com
https://www.youtube.com/watch?v=6Z5DSPZ2IjY,www.youtube.com
https://www.macworld.co.uk/how-to/mac/share-files-between-windows-mac-over-network-3647667/,www.macworld.co.uk
http://osxdaily.com/2011/09/08/share-files-from-mac-to-windows-pc/,osxdaily.com
https://support.apple.com/en-ca/guide/mac-help/mh17131/mac,support.apple.com
https://en.wikipedia.org/wiki/List_of_video_editing_software,en.wikipedia.org
https://support.google.com/youtube/answer/2888404?hl=en&visit_id=637047478691437730-2034202485&rd=1,support.google.com
https://docs.microsoft.com/en-us/azure/virtual-network/tutorial-filter-network-traffic,docs.microsoft.com
https://signin.aws.amazon.com/signin?redirect_uri=https%3A%2F%2Fconsole.aws.amazon.com%2Fa4b%2Fhome%3Fstate%3DhashArgs%2523%26isauthcode%3Dtrue&client_id=arn%3Aaws%3Aiam%3A%3A015428540659%3Auser%2Fmoneypenny&forceMobileApp=0,signin.aws.amazon.com
https://docs.aws.amazon.com/en_pv/a4b/latest/ag/getting-started.html,docs.aws.amazon.com
https://www.efax.ca/how-it-works,www.efax.ca
https://accounts.google.com/signin/v2/sl/pwd?ssp=1&email_hint=datawworks%40gmail.com&continue=https%3A%2F%2Fwww.google.com%2F&flowName=GlifDesktopChromeSync&cid=1&navigationDirection=forward,accounts.google.com
https://support.microsoft.com/en-ca/help/17463/windows-7-connect-to-another-computer-remote-desktop-connection,support.microsoft.com
https://www.netflix.com/Kids/category/67599,www.netflix.com
https://github.com/orgs/bluewworks/projects,github.com
https://bluewworks.github.io/,bluewworks.github.io
https://mega.nz/,mega.nz
http://infinityclouddrive.com/,infinityclouddrive.com
https://electronjs.org/releases/stable,electronjs.org
https://atom.io/,atom.io
https://code.visualstudio.com/updates/v1_38,code.visualstudio.com
